CONGLOME,VIVIENDA,HOGAR,CODPERSO,GENERO,EDAD,FACTOR_EXPANSION,NIVEL_EDUCATIVO,TIENE_BILLETERA,USA_BILLETERA,TIENE_BILLETERA_ALT_E10,TIENE_BILLETERA_ALT_E6,USA_BILLETERA_ALT_H6,BANCO_PREVIO,FORMAL,OCUPADO,UBIGEO,ESTRATO,DOMINIO,INTERNET_HOGAR,SMARTPHONE,INGHOG2D,GASHOG2D,MIEPERHO,POBREZA,INGRESO_PC,DPTO
10651,13,11,1,1,74,115.81494140625,8.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,0,1,45736.12890625,35921.20703125,4,3,11434.0322265625,15
10651,13,11,2,2,70,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,45736.12890625,35921.20703125,4,3,11434.0322265625,15
10651,13,11,3,2,22,115.81494140625,9.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,0,1,45736.12890625,35921.20703125,4,3,11434.0322265625,15
10651,13,11,4,1,19,115.81494140625,6.0,0,1,1.0,1.0,1.0,1,0,0.0,150509,4,2,0,1,45736.12890625,35921.20703125,4,3,11434.0322265625,15
10651,26,11,1,1,48,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,1,1,40958.33203125,17307.408203125,5,2,8191.66640625,15
10651,26,11,2,2,40,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,1,1,40958.33203125,17307.408203125,5,2,8191.66640625,15
10651,26,11,3,1,24,115.81494140625,9.0,0,1,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,40958.33203125,17307.408203125,5,2,8191.66640625,15
10651,26,11,4,2,20,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,40958.33203125,17307.408203125,5,2,8191.66640625,15
10651,26,11,5,2,89,115.81494140625,4.0,0,0,1.0,1.0,1.0,1,0,0.0,150509,4,2,1,1,40958.33203125,17307.408203125,5,2,8191.66640625,15
10651,55,11,1,1,52,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,51856.0,22795.8125,4,3,12964.0,15
10651,55,11,2,2,38,115.81494140625,8.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,51856.0,22795.8125,4,3,12964.0,15
10651,55,11,3,2,9,115.81494140625,3.0,0,0,,,,0,0,,150509,4,2,0,1,51856.0,22795.8125,4,3,12964.0,15
10651,55,11,4,2,89,115.81494140625,4.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,0,1,51856.0,22795.8125,4,3,12964.0,15
10651,69,11,1,1,48,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,0,39501.0,25891.462890625,2,3,19750.5,15
10651,69,11,2,2,40,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,0,39501.0,25891.462890625,2,3,19750.5,15
10651,84,11,1,1,45,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,2,2,42,115.81494140625,6.0,0,1,1.0,1.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,3,2,23,115.81494140625,10.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,84,11,4,2,21,115.81494140625,9.0,0,0,1.0,0.0,1.0,1,0,0.0,150509,4,2,1,1,9110.0,30620.609375,4,3,2277.5,15
10651,98,11,1,2,37,115.81494140625,6.0,0,1,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
10651,98,11,2,2,18,115.81494140625,6.0,0,0,1.0,0.0,1.0,1,0,1.0,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
10651,98,11,3,2,12,115.81494140625,4.0,0,0,,,,0,0,,150509,4,2,0,1,43442.1171875,23826.294921875,3,3,14480.705729166666,15
11380,97,11,1,1,62,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,2,2,50,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,0.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,3,2,25,130.694778442383,10.0,0,1,1.0,0.0,1.0,1,0,1.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,97,11,4,1,18,130.694778442383,6.0,0,0,1.0,1.0,1.0,0,0,0.0,221003,7,7,1,1,60511.21875,23328.78515625,4,3,15127.8046875,22
11380,98,11,1,1,56,130.694778442383,4.0,1,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,2,2,23,130.694778442383,6.0,0,0,1.0,1.0,1.0,0,0,0.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,3,1,35,130.694778442383,5.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,98,11,4,1,7,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,25194.494140625,30741.609375,4,3,6298.62353515625,22
11380,99,11,1,1,60,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,99,11,2,2,75,130.694778442383,4.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,99,11,3,1,12,130.694778442383,4.0,0,0,,,,0,0,,221003,7,7,0,1,30884.240234375,17562.44921875,3,3,10294.746744791666,22
11380,102,11,1,1,48,130.694778442383,3.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,2,2,47,130.694778442383,1.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,3,2,15,130.694778442383,5.0,0,0,0.0,0.0,0.0,0,0,1.0,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,4,1,12,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,5,2,6,130.694778442383,2.0,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,6, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,7, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,102,11,8, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,0,1,42199.93359375,17750.580078125,5,2,8439.98671875,22
11380,147,11,1,2,58,130.694778442383,3.0,0,0,1.0,1.0,1.0,0,1,1.0,221003,7,7,1,1,3731.07983398438,9322.5458984375,1,3,3731.07983398438,22
11380,150,11,1,1,27,130.694778442383,5.0,0,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,150,11,2,2,25,130.694778442383,5.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,150,11,3,2,7,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,0,1,18656.478515625,10227.349609375,3,2,6218.826171875,22
11380,173,11,1,1,71,130.694778442383,3.0,0,0,1.0,0.0,1.0,1,0,1.0,221003,7,7,0,1,11897.68359375,15997.3935546875,1,3,11897.68359375,22
11380,175,11,1,1,56,130.694778442383,4.0,1,0,1.0,1.0,1.0,0,1,1.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,2,2,50,130.694778442383,4.0,1,0,1.0,1.0,1.0,0,0,1.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,3,2,19,130.694778442383,9.0,0,0,1.0,0.0,1.0,1,0,0.0,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,4,2,9,130.694778442383,3.0,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,5, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,6, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,7, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
11380,175,11,8, , ,130.694778442383,,0,0,,,,0,0,,221003,7,7,1,1,119061.7734375,64644.41796875,4,3,29765.443359375,22
15001,3,11,1,1,39,225.326202392578,8.0,1,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,01
15001,3,11,2,2,38,225.326202392578,6.0,0,1,1.0,1.0,1.0,1,0,1.0,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,01
15001,3,11,3,2,7,225.326202392578,3.0,0,0,,,,0,0,,10101,4,4,0,1,56330.26953125,31551.13671875,3,3,18776.756510416668,01
15001,24,11,1,2,49,225.326202392578,5.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,01
15001,24,11,2,1,10,225.326202392578,3.0,0,0,,,,0,0,,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,01
15001,24,11,3,2,24,225.326202392578,,0,0,,,,0,0,,10101,4,4,0,1,18100.767578125,14979.9873046875,2,3,9050.3837890625,01
15001,85,11,1,1,56,225.326202392578,11.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.282552083332,01
15001,85,11,2,2,59,225.326202392578,8.0,1,0,1.0,0.0,1.0,1,1,1.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.282552083332,01
15001,85,11,3,2,21,225.326202392578,9.0,0,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.282552083332,01
15001,85,11,4,1,10,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,63975.84765625,86583.1875,3,3,21325.282552083332,01
15001,126,11,1,2,58,225.326202392578,5.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,2,1,67,225.326202392578,6.0,0,0,1.0,1.0,1.0,0,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,3,2,35,225.326202392578,10.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,4,1,32,225.326202392578,6.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,5,2,18,225.326202392578,6.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,6,2,1,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,7,2,25,225.326202392578,7.0,1,1,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,8,1,4,225.326202392578,2.0,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,9,2,22,225.326202392578,7.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,126,11,10,2,2,225.326202392578,,0,0,,,,0,0,,10101,4,4,1,1,60115.93359375,57224.75,10,3,6011.593359375,01
15001,163,11,1,1,31,225.326202392578,10.0,1,1,0.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,01
15001,163,11,2,2,30,225.326202392578,10.0,0,1,1.0,0.0,1.0,1,0,1.0,10101,4,4,1,1,60570.33203125,22757.501953125,2,3,30285.166015625,01
15003,10,11,1,1,60,69.4570999145508,6.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,10,11,2,2,53,69.4570999145508,4.0,0,0,1.0,1.0,1.0,0,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,10,11,3,1,20,69.4570999145508,9.0,0,0,1.0,0.0,1.0,1,0,0.0,10101,4,4,1,1,62164.66015625,63209.9921875,3,3,20721.553385416668,01
15003,24,11,1,2,55,69.4570999145508,3.0,0,0,1.0,1.0,0.0,0,0,1.0,10101,4,4,1,1,40992.9921875,42218.109375,4,3,10248.248046875,01
